chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
111.1,41.6,854,1727,XL
111.7,39.9,905,1774,XL
111.2,40.1,860,1681,XL
105.6,40.6,861,1771,L
111.4,44.3,971,1826,XL
110.5,41.2,897,1795,XL
111.5,40.4,946,1803,XL
99.0,37.9,717,1785,M
105.4,41.4,813,1773,L
116.5,42.2,949,1790,2XL
98.3,40.3,747,1773,M
99.1,41.5,796,1765,M
105.8,41.8,858,1871,L
98.8,39.5,800,1750,M
111.3,44.2,1054,1904,XL
110.3,44.2,848,1785,XL
122.4,45.9,1223,1903,3XL
123.3,42.8,914,1647,3XL
105.0,38.1,791,1756,L
109.0,36.9,759,1611,L
104.8,41.9,933,1783,L
116.1,42.9,1107,1843,2XL
111.3,40.4,903,1762,XL
110.2,40.5,893,1707,XL
110.9,39.2,934,1812,XL
110.6,43.5,888,1860,XL
104.2,39.4,784,1733,L
104.7,38.2,801,1698,L
104.8,40.0,871,1800,L
99.0,43.4,881,1865,M
105.3,39.6,788,1707,L
105.9,41.1,844,1707,L
110.3,39.2,895,1715,XL
111.7,42.5,904,1717,XL
104.9,39.4,858,1768,L
105.9,42.6,909,1780,L
97.7,40.3,669,1704,M
116.3,42.8,1046,1831,2XL
104.5,41.5,905,1867,L
105.6,41.1,856,1794,L
116.5,41.2,1012,1805,2XL
122.6,43.1,966,1694,3XL
104.4,43.5,788,1765,L
111.8,44.3,926,1802,XL
105.4,41.1,895,1855,L
110.1,41.0,890,1764,XL
110.3,45.3,1015,1807,XL
111.7,40.8,915,1851,XL
111.3,42.9,959,1758,XL
104.8,42.4,837,1745,L
104.3,39.8,828,1728,L
87.9,40.4,578,1671,S
117.8,44.1,1055,1791,2XL
111.4,42.5,937,1853,XL
105.7,42.6,797,1777,L
97.8,42.1,827,1859,M
99.9,39.4,810,1782,M
99.7,35.8,663,1528,M
105.2,41.3,797,1700,L
127.2,42.9,950,1689,3XL
98.3,42.7,782,1794,M
104.2,39.3,859,1710,L
92.2,41.9,700,1792,S
89.9,40.2,657,1735,S
116.6,43.6,987,1767,2XL
104.7,40.2,857,1751,L
105.1,40.5,893,1736,L
90.7,40.5,666,1775,S
116.3,44.5,890,1717,2XL
124.3,45.2,1056,1706,3XL
99.3,40.4,746,1660,M
104.3,36.9,772,1671,L
104.2,41.8,829,1775,L
105.1,38.9,857,1727,L
87.2,36.5,597,1682,S
116.7,41.7,979,1747,2XL
99.5,44.6,897,1966,M
116.8,42.6,1016,1737,2XL
104.8,40.3,761,1692,L
104.6,41.7,801,1744,L
116.7,41.2,1051,1788,2XL
131.7,44.4,1344,1841,3XL
124.2,41.4,1262,1905,3XL
116.8,43.1,1053,1847,2XL
92.8,39.7,678,1724,S
97.6,38.8,703,1717,M
89.0,41.3,657,1781,S
93.7,40.1,720,1766,S
110.6,42.3,1048,1821,XL
105.2,41.3,866,1832,L
92.2,40.9,601,1685,S
116.4,41.8,1120,1788,2XL
97.9,42.5,762,1765,M
129.9,43.7,1278,1818,3XL
85.5,39.2,529,1687,XS
104.7,39.9,849,1844,L
110.6,41.9,823,1790,XL
104.5,41.1,788,1734,L
99.6,42.7,787,1834,M
99.3,40.6,649,1665,M
111.6,42.7,891,1856,XL
93.1,42.6,717,1741,S
110.8,42.0,924,1852,XL
99.1,39.8,826,1733,M
105.3,42.2,811,1689,L
104.6,39.9,773,1709,L
89.7,38.7,660,1771,S
111.6,41.7,963,1791,XL
92.2,41.5,646,1700,S
104.8,43.1,884,1727,L
93.9,41.5,674,1684,S
97.8,41.3,730,1761,M
92.0,41.1,699,1738,S
99.3,42.1,831,1936,M
125.5,47.8,1325,1928,3XL
104.2,43.0,961,1883,L
111.5,39.7,979,1811,XL
84.8,35.5,540,1700,XS
89.2,39.5,608,1664,S
99.6,37.5,739,1733,M
111.4,43.2,1044,1839,XL
77.4,33.7,393,1600,XS
111.3,41.3,897,1771,XL
98.8,43.3,816,1839,M
99.3,42.1,734,1759,M
105.2,42.7,819,1790,L
91.2,39.9,593,1728,S
117.4,43.5,1019,1814,2XL
105.6,40.3,795,1772,L
93.5,42.0,709,1750,S
105.5,41.6,828,1785,L
97.1,39.4,708,1699,M
98.0,40.4,703,1768,M
111.9,42.2,902,1712,XL
91.2,40.8,600,1674,S
110.4,42.2,912,1746,XL
98.0,41.1,820,1797,M
89.0,41.1,579,1735,S
92.6,39.9,558,1658,S
110.9,43.7,985,1856,XL
116.1,41.6,972,1704,2XL
105.8,43.3,934,1787,L
104.2,40.3,857,1653,L
85.1,39.1,634,1779,XS
111.8,41.6,883,1759,XL
89.5,40.6,591,1738,S
97.7,40.7,742,1736,M
92.6,41.1,658,1724,S
110.6,41.6,983,1736,XL
92.2,38.9,638,1736,S
124.4,42.7,1298,1810,3XL
104.1,38.6,804,1746,L
99.1,39.0,773,1736,M
107.8,46.6,1062,1880,XL
105.6,41.4,790,1703,L
91.8,42.2,741,1822,S
86.5,36.7,591,1679,XS
105.9,39.2,822,1766,L
91.2,40.3,643,1735,S
105.1,41.1,878,1812,L
103.1,45.2,883,1832,L
111.7,42.0,898,1800,XL
122.4,42.0,1128,1704,3XL
117.0,42.4,1059,1775,2XL
91.7,38.4,557,1650,S
111.3,38.9,852,1682,XL
111.6,42.5,956,1691,XL
117.3,43.0,1046,1844,2XL
105.7,41.2,784,1745,L
122.3,44.2,1036,1768,3XL
97.3,38.4,642,1693,M
99.2,38.0,690,1683,M
98.8,42.4,807,1881,M
110.4,43.7,1015,1799,XL
129.7,46.6,1092,1835,3XL
104.2,43.5,731,1744,L
104.1,42.7,834,1772,L
93.6,38.9,661,1660,S
116.1,43.9,1029,1824,2XL
117.8,44.1,1081,1857,2XL
97.9,41.7,696,1746,M
105.1,40.1,817,1676,L
104.9,44.7,919,1789,L
117.9,40.5,1070,1785,2XL
111.5,42.3,965,1764,XL
105.2,41.0,880,1730,L
131.2,46.8,1254,1912,3XL
105.0,40.8,758,1734,L
111.7,39.9,863,1670,XL
110.4,41.7,947,1805,XL
105.4,39.3,854,1775,L
117.6,41.6,1035,1730,2XL
126.1,44.1,1213,1759,3XL
117.0,42.5,1051,1781,2XL
111.3,44.4,956,1847,XL
110.8,41.8,962,1819,XL
110.8,41.1,895,1730,XL
127.4,44.5,1198,1818,3XL
104.6,40.8,752,1695,L
116.8,40.9,954,1780,2XL
117.1,42.2,1025,1666,2XL
105.9,41.7,865,1768,L
98.2,41.7,771,1752,M
104.4,40.5,843,1776,L
105.2,41.0,878,1674,L
117.1,41.6,1019,1721,2XL
99.4,39.6,760,1705,M
110.2,43.0,946,1768,XL
111.1,42.3,873,1780,XL
98.1,41.8,730,1803,M
99.9,41.3,711,1785,M
117.6,43.6,990,1776,2XL
116.8,40.5,1125,1860,2XL
116.6,44.5,1032,1730,2XL
125.1,43.4,1052,1728,3XL
98.7,41.5,752,1740,M
92.2,41.3,724,1771,S
105.3,42.1,874,1803,L
116.4,42.9,946,1815,2XL
104.3,42.9,1039,1882,L
105.3,39.9,759,1668,L
106.4,46.9,853,1835,XL
116.4,43.3,1032,1829,2XL
111.9,42.4,1078,1827,XL
105.5,40.8,962,1785,L
98.2,42.6,762,1827,M
99.7,42.8,712,1796,M
111.2,42.4,818,1713,XL
93.2,38.4,760,1823,S
110.9,43.2,952,1842,XL
105.3,37.3,764,1673,L
116.6,44.3,1001,1771,2XL
97.3,42.3,758,1729,M
