chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
99.3,33.9,665,1643,XL
73.7,32.7,426,1464,XS
99.8,35.7,761,1618,XL
93.7,36.4,719,1631,L
88.7,37.5,609,1602,M
105.2,36.2,768,1513,2XL
88.5,33.4,526,1550,M
99.4,36.5,766,1630,XL
120.2,40.0,934,1693,3XL
88.2,36.9,622,1627,M
120.8,39.1,942,1666,3XL
88.9,34.7,525,1547,M
79.2,31.2,490,1629,S
99.7,35.4,749,1560,XL
105.1,36.0,852,1751,2XL
98.0,31.1,722,1599,L
93.9,33.3,660,1631,L
93.3,36.7,706,1666,L
87.3,37.4,526,1629,M
114.7,36.7,949,1682,3XL
87.4,35.5,630,1720,M
121.4,41.9,1069,1783,3XL
99.5,38.4,752,1630,XL
115.4,36.3,852,1587,3XL
117.2,36.1,827,1627,3XL
111.0,38.8,821,1644,3XL
99.6,38.1,761,1619,XL
88.2,35.1,541,1605,M
105.3,38.3,852,1703,2XL
88.2,36.0,582,1574,M
87.6,37.4,609,1602,M
93.5,37.4,675,1632,L
93.4,35.4,719,1628,L
72.6,35.5,435,1563,XS
109.0,34.7,753,1641,2XL
112.6,37.5,843,1699,3XL
88.0,36.0,671,1604,M
93.6,34.3,636,1595,L
88.2,36.6,646,1694,M
93.4,37.4,658,1626,L
88.7,36.5,585,1614,M
88.4,34.3,616,1592,M
82.5,37.2,549,1635,S
104.1,37.6,802,1751,2XL
111.1,37.5,871,1635,3XL
112.9,35.6,870,1600,3XL
103.9,32.7,826,1659,XL
105.1,38.6,719,1592,2XL
88.2,36.0,716,1648,M
105.6,35.6,832,1669,2XL
93.2,38.7,764,1770,L
105.1,39.8,934,1752,2XL
88.9,37.9,553,1636,M
99.6,41.0,823,1709,XL
87.6,36.2,601,1695,M
116.0,38.8,940,1676,3XL
104.2,37.2,786,1705,2XL
77.6,31.8,504,1594,S
87.2,38.9,598,1687,M
105.5,36.3,780,1658,2XL
93.5,34.8,735,1688,L
99.2,38.8,678,1611,XL
87.3,36.6,592,1611,M
99.2,37.2,801,1640,XL
93.6,37.8,704,1662,L
88.2,35.2,590,1601,M
97.8,31.7,640,1580,L
99.7,35.4,842,1676,XL
82.2,34.8,546,1536,S
93.2,33.2,715,1561,L
79.8,36.0,522,1532,S
80.4,33.4,537,1586,S
87.5,34.6,577,1507,M
88.1,34.5,499,1468,M
99.4,35.1,783,1705,XL
82.4,35.1,518,1530,S
88.1,36.0,631,1552,M
80.7,35.8,569,1574,S
88.2,32.1,523,1602,M
105.7,36.3,740,1764,2XL
80.8,34.3,430,1492,S
90.4,40.6,660,1683,L
93.3,37.0,695,1628,L
87.4,37.6,602,1530,M
88.6,36.5,654,1607,M
82.4,34.7,669,1677,S
88.7,35.3,597,1563,M
86.3,38.8,657,1743,M
88.3,36.0,643,1503,M
110.3,37.8,857,1637,3XL
88.9,35.6,586,1611,M
87.4,35.9,560,1604,M
81.1,33.7,533,1543,S
99.8,35.4,678,1630,XL
93.5,36.1,658,1560,L
79.0,36.3,549,1613,S
105.6,36.8,814,1595,2XL
79.0,34.7,478,1559,S
93.2,34.9,646,1646,L
82.0,34.3,509,1515,S
93.4,38.1,670,1699,L
99.8,33.4,665,1655,XL
82.6,33.5,505,1502,S
83.4,39.3,653,1648,M
104.6,34.6,726,1576,2XL
99.5,36.5,671,1590,XL
83.4,38.2,577,1636,M
99.8,36.7,734,1633,XL
93.6,36.6,729,1675,L
88.3,36.2,708,1598,M
93.7,36.6,695,1670,L
105.5,36.1,696,1600,2XL
79.1,35.2,515,1596,S
87.0,38.2,565,1629,M
104.5,35.0,852,1762,2XL
87.4,34.3,503,1531,M
85.8,39.0,692,1700,M
99.2,34.5,640,1539,XL
88.5,37.1,650,1620,M
82.8,36.8,580,1712,S
82.1,35.1,601,1598,S
93.1,35.3,628,1571,L
79.5,34.0,503,1618,S
78.6,36.9,508,1512,S
78.5,35.0,520,1555,S
105.0,38.7,831,1729,2XL
79.9,33.6,549,1541,S
86.4,38.2,609,1663,M
99.9,38.3,771,1658,XL
93.5,36.6,668,1642,L
104.5,37.7,757,1648,2XL
88.2,37.5,745,1709,M
80.5,32.9,444,1537,S
80.8,35.0,445,1458,S
93.7,37.5,643,1688,L
105.3,40.4,837,1710,2XL
105.8,34.8,810,1663,2XL
87.5,33.3,603,1602,M
99.5,36.1,603,1534,XL
112.7,39.9,885,1634,3XL
99.2,35.2,774,1652,XL
99.5,34.6,643,1527,XL
87.7,34.9,505,1518,M
80.7,32.5,463,1570,S
115.3,39.4,951,1653,3XL
81.5,38.7,582,1712,S
99.9,32.8,703,1519,XL
114.5,39.7,1019,1702,3XL
118.8,38.3,896,1674,3XL
113.9,36.9,916,1649,3XL
77.3,35.7,535,1620,S
105.2,35.5,712,1584,2XL
104.5,37.4,721,1608,2XL
93.2,35.0,589,1656,L
93.9,34.0,620,1584,L
84.2,38.2,625,1673,M
99.2,33.3,701,1503,XL
99.4,34.6,632,1572,XL
93.7,38.3,746,1743,L
104.5,39.0,868,1674,2XL
100.1,32.9,804,1543,XL
93.5,38.3,673,1561,L
80.2,34.0,516,1587,S
112.9,34.8,914,1645,2XL
106.1,33.5,919,1653,2XL
104.8,37.5,717,1569,2XL
93.2,39.1,692,1622,L
