chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
1020,394,M,S,conflict
1138,432,XL,XL,match
1012,415,M,M,match
1023,392,M,S,conflict
911,411,XS,M,conflict
1037,383,M,XS,conflict
1006,408,M,M,match
1092,395,L,S,conflict
972,410,S,M,conflict
1095,424,L,L,match
1233,437,XXL,XL,conflict
1033,399,M,S,conflict
1078,436,L,XL,conflict
1071,416,L,L,match
1029,445,M,XXL,conflict
1145,430,XL,XL,match
1132,425,XL,L,conflict
1035,405,M,M,match
872,382,XS,XS,match
1003,409,M,M,match
1077,436,L,XL,conflict
1110,399,L,S,conflict
1031,411,M,M,match
1117,403,L,S,conflict
1153,409,XL,M,conflict
1097,442,L,XXL,conflict
1078,410,L,M,conflict
1142,453,XL,XXXL,conflict
1143,419,XL,L,conflict
946,424,S,L,conflict
1046,415,M,M,match
1027,403,M,S,conflict
1006,409,M,M,match
1139,414,XL,M,conflict
976,429,S,XL,conflict
1004,402,M,S,conflict
1033,436,M,XL,conflict
902,413,XS,M,conflict
967,420,S,L,conflict
968,412,S,M,conflict
1021,435,M,XL,conflict
990,438,S,XL,conflict
1061,419,L,L,match
941,380,S,XS,conflict
1240,428,XXXL,L,conflict
942,399,S,S,match
958,415,S,M,conflict
998,408,M,M,match
1093,421,L,L,match
1073,434,L,XL,conflict
915,397,XS,S,conflict
1115,453,L,XXXL,conflict
934,402,S,S,match
1016,437,M,XL,conflict
1018,416,M,L,conflict
1029,416,M,L,conflict
986,419,S,L,conflict
933,420,S,L,conflict
1010,434,M,XL,conflict
1086,405,L,M,conflict
1144,453,XL,XXXL,conflict
1067,397,L,S,conflict
1098,428,L,L,match
1163,452,XL,XXL,conflict
1057,403,L,S,conflict
917,412,XS,M,conflict
996,446,S,XXL,conflict
942,390,S,S,match
1034,457,M,XXXL,conflict
1021,424,M,L,conflict
1093,430,L,XL,conflict
1191,418,XXL,L,conflict
1007,420,M,L,conflict
1034,408,M,M,match
1068,411,L,M,conflict
1327,458,XXXL,XXXL,match
1000,416,M,L,conflict
1119,405,XL,M,conflict
1002,411,M,M,match
992,405,S,M,conflict
875,393,XS,S,conflict
993,407,S,M,conflict
1051,412,M,M,match
987,408,S,M,conflict
1018,399,M,S,conflict
1070,402,L,S,conflict
1044,416,M,L,conflict
1052,386,M,S,conflict
1067,395,L,S,conflict
1048,425,M,L,conflict
1007,421,M,L,conflict
1122,440,XL,XL,match
1213,447,XXL,XXL,match
946,397,S,S,match
1144,425,XL,L,conflict
1113,405,L,M,conflict
1097,414,L,M,conflict
1114,433,L,XL,conflict
942,408,S,M,conflict
964,393,S,S,match
983,417,S,L,conflict
1124,415,XL,M,conflict
1057,424,L,L,match
1254,472,XXXL,XXXL,match
1034,408,M,M,match
1100,408,L,M,conflict
978,414,S,M,conflict
1071,414,L,M,conflict
1064,406,L,M,conflict
1005,413,M,M,match
894,409,XS,M,conflict
1058,422,L,L,match
998,397,M,S,conflict
893,407,XS,M,conflict
1012,404,M,M,match
1099,426,L,L,match
1125,417,XL,L,conflict
1080,431,L,XL,conflict
1122,418,XL,L,conflict
1079,409,L,M,conflict
1115,445,L,XXL,conflict
1137,430,XL,XL,match
1144,460,XL,XXXL,conflict
1008,390,M,S,conflict
1002,407,M,M,match
986,418,S,L,conflict
1272,455,XXXL,XXXL,match
1128,411,XL,M,conflict
1097,422,L,L,match
1087,433,L,XL,conflict
1081,430,L,XL,conflict
1036,437,M,XL,conflict
1074,432,L,XL,conflict
1174,430,XXL,XL,conflict
1153,438,XL,XL,match
1133,438,XL,XL,match
1003,420,M,L,conflict
1114,418,L,L,match
1044,429,M,XL,conflict
1106,435,L,XL,conflict
1011,404,M,M,match
1116,421,L,L,match
1003,431,M,XL,conflict
1116,440,L,XL,conflict
1200,424,XXL,L,conflict
1090,404,L,M,conflict
934,421,S,L,conflict
1083,427,L,L,match
1054,429,M,XL,conflict
1068,433,L,XL,conflict
1003,405,M,M,match
932,422,S,L,conflict
1071,411,L,M,conflict
1107,415,L,M,conflict
1028,430,M,XL,conflict
1024,428,M,L,conflict
968,383,S,XS,conflict
1161,430,XL,XL,match
999,419,M,L,conflict
1028,451,M,XXL,conflict
986,430,S,XL,conflict
1059,414,L,M,conflict
1121,397,XL,S,conflict
1105,420,L,L,match
1073,428,L,L,match
1154,426,XL,L,conflict
941,429,S,XL,conflict
914,407,XS,M,conflict
947,409,S,M,conflict
1180,425,XXL,L,conflict
1043,431,M,XL,conflict
1199,415,XXL,M,conflict
996,396,S,S,match
1010,429,M,XL,conflict
914,389,XS,S,conflict
981,415,S,M,conflict
1057,425,L,L,match
1106,432,L,XL,conflict
1055,419,M,L,conflict
993,424,S,L,conflict
1140,413,XL,M,conflict
1172,427,XL,L,conflict
1158,393,XL,S,conflict
1084,413,L,M,conflict
1094,412,L,M,conflict
1150,453,XL,XXXL,conflict
1122,445,XL,XXL,conflict
1038,417,M,L,conflict
1153,428,XL,L,conflict
1067,428,L,L,match
947,393,S,S,match
1049,416,M,L,conflict
1043,435,M,XL,conflict
1232,450,XXL,XXL,match
956,412,S,M,conflict
1076,448,L,XXL,conflict
947,408,S,M,conflict
1096,452,L,XXL,conflict
1089,427,L,L,match
1083,447,L,XXL,conflict
1010,410,M,M,match
