chestcircumference,biacromialbreadth,chest_size,shoulder_size,result
935,362,M,M,match
932,369,M,L,conflict
906,361,M,M,match
1150,385,XXXL,XL,conflict
991,376,L,L,match
1000,368,XL,L,conflict
1045,354,XL,M,conflict
862,336,S,S,match
900,389,M,XL,conflict
976,378,L,L,match
899,357,M,M,match
1003,400,XL,XXL,conflict
995,399,L,XXL,conflict
955,397,L,XXL,conflict
910,403,M,XXXL,conflict
945,352,L,S,conflict
892,353,M,S,conflict
1066,383,XXL,XL,conflict
1040,361,XL,M,conflict
980,383,L,XL,conflict
1100,377,XXL,L,conflict
872,364,S,M,conflict
1059,404,XXL,XXXL,conflict
852,343,S,S,match
1142,392,XXXL,XXL,conflict
870,333,S,XS,conflict
880,353,S,S,match
892,379,M,XL,conflict
957,390,L,XXL,conflict
1070,375,XXL,L,conflict
962,367,L,L,match
930,383,M,XL,conflict
895,381,M,XL,conflict
1050,401,XL,XXXL,conflict
925,355,M,M,match
895,358,M,M,match
895,382,M,XL,conflict
1101,387,XXL,XL,conflict
910,386,M,XL,conflict
903,355,M,M,match
878,373,S,L,conflict
846,380,S,XL,conflict
836,344,S,S,match
870,390,S,XXL,conflict
869,361,S,M,conflict
794,347,XS,S,conflict
845,370,S,L,conflict
880,387,S,XL,conflict
843,343,S,S,match
838,387,S,XL,conflict
1077,383,XXL,XL,conflict
963,364,L,M,conflict
1012,362,XL,M,conflict
1000,388,XL,XL,match
860,364,S,M,conflict
925,386,M,XL,conflict
1002,385,XL,XL,match
960,376,L,L,match
957,372,L,L,match
922,356,M,M,match
1157,385,XXXL,XL,conflict
915,394,M,XXL,conflict
885,387,S,XL,conflict
1040,399,XL,XXL,conflict
1003,353,XL,S,conflict
837,340,S,S,match
871,339,S,S,match
1115,401,XXL,XXXL,conflict
924,357,M,M,match
997,396,L,XXL,conflict
870,346,S,S,match
1025,376,XL,L,conflict
1006,377,XL,L,conflict
876,375,S,L,conflict
933,370,M,L,conflict
966,391,L,XXL,conflict
900,350,M,S,conflict
1040,371,XL,L,conflict
1045,375,XL,L,conflict
925,371,M,L,conflict
975,366,L,L,match
910,353,M,S,conflict
952,376,L,L,match
907,347,M,S,conflict
1089,380,XXL,XL,conflict
943,355,L,M,conflict
1047,370,XL,L,conflict
1027,330,XL,XS,conflict
1038,396,XL,XXL,conflict
906,372,M,L,conflict
1095,392,XXL,XXL,match
